YEAR,Make,Model,Size
2020,MITSUBISHI,i-MiEV,SUBCOMPACT
2020,NISSAN,LEAF,MID-SIZE
2021,FORD,FOCUS ELECTRIC,COMPACT
2021,MITSUBISHI,i-MiEV,SUBCOMPACT
2021,NISSAN,LEAF,MID-SIZE
2021,SMART,FORTWO ELECTRIC DRIVE CABRIOLET,TWO-SEATER
2021,SMART,FORTWO ELECTRIC DRIVE COUPE,TWO-SEATER
2021,TESLA,MODEL S (40 kWh battery),FULL-SIZE
2021,TESLA,MODEL S (60 kWh battery),FULL-SIZE
2021,TESLA,MODEL S (85 kWh battery),FULL-SIZE
2021,TESLA,MODEL S PERFORMANCE,FULL-SIZE
2019,CHEVROLET,SPARK EV,SUBCOMPACT
2019,FORD,FOCUS ELECTRIC,COMPACT
2019,MITSUBISHI,i-MiEV,SUBCOMPACT
2019,NISSAN,LEAF,MID-SIZE
2019,SMART,FORTWO ELECTRIC DRIVE CABRIOLET,TWO-SEATER
2019,SMART,FORTWO ELECTRIC DRIVE COUPE,TWO-SEATER
2019,TESLA,MODEL S (60 kWh battery),FULL-SIZE
2019,TESLA,MODEL S (85 kWh battery),FULL-SIZE
2019,TESLA,MODEL S PERFORMANCE,FULL-SIZE
2018,BMW,i3,SUBCOMPACT
2018,CHEVROLET,SPARK EV,SUBCOMPACT
2018,FORD,FOCUS ELECTRIC,COMPACT
2018,KIA,SOUL EV,STATION WAGON - SMALL
2018,MITSUBISHI,i-MiEV,SUBCOMPACT
2018,NISSAN,LEAF,MID-SIZE
2018,SMART,FORTWO ELECTRIC DRIVE CABRIOLET,TWO-SEATER
2018,SMART,FORTWO ELECTRIC DRIVE COUPE,TWO-SEATER
2018,TESLA,MODEL S (60 kWh battery),FULL-SIZE
2018,TESLA,MODEL S (70 kWh battery),FULL-SIZE
2018,TESLA,MODEL S (85/90 kWh battery),FULL-SIZE
2018,TESLA,MODEL S 70D,FULL-SIZE
2018,TESLA,MODEL S 85D/90D,FULL-SIZE
2018,TESLA,MODEL S P85D/P90D,FULL-SIZE
2016,BMW,i3,SUBCOMPACT
2016,CHEVROLET,SPARK EV,SUBCOMPACT
2016,FORD,FOCUS ELECTRIC,COMPACT
2016,KIA,SOUL EV,STATION WAGON - SMALL
2016,MITSUBISHI,i-MiEV,SUBCOMPACT
2016,NISSAN,LEAF (24 kWh battery),MID-SIZE
2016,NISSAN,LEAF (30 kWh battery),MID-SIZE
2016,SMART,FORTWO ELECTRIC DRIVE CABRIOLET,TWO-SEATER
2016,SMART,FORTWO ELECTRIC DRIVE COUPE,TWO-SEATER
2016,TESLA,MODEL S (60 kWh battery),FULL-SIZE
2016,TESLA,MODEL S (70 kWh battery),FULL-SIZE
2016,TESLA,MODEL S (85/90 kWh battery),FULL-SIZE
2016,TESLA,MODEL S 70D,FULL-SIZE
2016,TESLA,MODEL S 85D/90D,FULL-SIZE
2016,TESLA,MODEL S 90D (Refresh),FULL-SIZE
2016,TESLA,MODEL S P85D/P90D,FULL-SIZE
2016,TESLA,MODEL S P90D (Refresh),FULL-SIZE
2016,TESLA,MODEL X 90D,SUV - STANDARD
2016,TESLA,MODEL X P90D,SUV - STANDARD
